Dataset,Class_1,Class_2,Class_3,Class_4,Imbalance_Ratio,Class_5,Class_6,Class_7
BRCA,BRCA_1 (535),BRCA_2 (205),BRCA_3 (175),BRCA_4 (80),6.7:1,,,
COADREAD,COADREAD_1 (181),COADREAD_2 (133),COADREAD_3 (55),COADREAD_4 (40),10.6:1,COADREAD_5 (23),COADREAD_6 (17),
GEA,GEA_1 (192),GEA_2 (80),GEA_3 (48),GEA_4 (45),6.4:1,GEA_5 (36),GEA_6 (30),GEA_7 (30)
KIRCKICH,KIRCKICH_1 (491),KIRCKICH_2 (65),,,7.6:1,,,
SKCM,SKCM_1 (202),SKCM_2 (118),SKCM_3 (78),SKCM_4 (46),4.4:1,,,
THCA,THCA_1 (248),THCA_2 (189),THCA_3 (49),,5.1:1,,,
UCEC,UCEC_1 (155),UCEC_2 (143),UCEC_3 (123),UCEC_4 (78),2.0:1,,,
BLCA,BLCA_1 (148),BLCA_2 (126),BLCA_3 (53),BLCA_4 (45),24.7:1,BLCA_5 (21),BLCA_6 (6),
HNSC,HNSC_1 (145),HNSC_2 (134),HNSC_3 (82),HNSC_4 (75),2.1:1,HNSC_5 (70),,
LGGGBM,LGGGBM_1 (222),LGGGBM_2 (196),LGGGBM_3 (155),LGGGBM_4 (130),11.1:1,LGGGBM_5 (37),LGGGBM_7 (22),LGGGBM_6 (20)
LUAD,LUAD_1 (174),LUAD_2 (143),LUAD_3 (104),LUAD_4 (43),4.8:1,LUAD_5 (36),,
LUSC,LUSC_2 (122),LUSC_1 (119),LUSC_3 (87),LUSC_5 (44),2.8:1,LUSC_4 (44),LUSC_6 (44),
